Reviewer Name,Review Title,Review Text,Verified Purchase,product_color,product_size,product_name
Aashik Francis,Confused? Read on! One stop review for your flagship purchase.,"I went through a lot of reviews and articles before I decided on the iPhone 12. I’ve been an Android user all my life and frankly thought Apple phones were really overpriced(at least here in India). But in the present day, the flagship Android options are no less expensive.
If you spend a lot of time on your mobile, using it as your primary camera, social media device, business emails/collaboration and also to stream videos then you definitely need to spend a little more and go with a flagship option for the best experience.

Coming to the flagships today (Aug2021), apart from the iPhone we have Samsung Galaxy S21/+/ultra, Oneplus 9 pro, Vivo x60 pro+, mi 11ultra. If you read a few reviews you’ll understand that 888Snapdragon has a lot of heating issues and 9pro cameras didn’t live up to the hype(also overheating when the camera is in use). Samsung in India ships the phone with exynos2100 which is way less powerful than 888. The prices of all these phones are in the same range (except the ultra). Imp note: iOS updates are across iPhone devices unlike the android updates.

Apple has really done a lot of things right on the iPhone12:

1. They changed its display from lcd to led (huge value jump)
2. A14 Bionic chip is a really fast and smooth without any lag
3. Huge improvement on the primary cameras. Still the best video recording phone in the market and the photos are top quality
4. The change is the body design is really comfortable in the hand
5. The haptics are spot on

What’s Missing: (Minor misses though)
1. The Notch. Really wish they get rid of the notch but looks like it wont be out until 2023. Anyway you’ll get used to it.
2. USB type C charging. The iPad Pro 2020 model onwards already comes with the TypeC usb charging. I guess the iPhone 13 would get this change
3. Fingerprint Sensor: Yes. Apple had done away with it couple of years back but with the pandemic still on, you sometimes wish there was a fingerprint sensor

Wait for the iPhone 13 or go with the 12:
It took a while for 12’s prices to fall. If you’re willing to wait till Feb-March 2022 for a good deal then wait for the 13. If you want to change it now, go with the 12.

64GB or 128GB:
The difference is around ₹6000. 64GB if you don’t play too many games and keep dumping the media files every once in while to your pc/storage . Else, the 128😊

Battery:
I was indeed very surprised with the battery life. Charging time is a little slower compared to it’s competition but the back up is impressive. It easily lasts a day.

Android Flagship Option:
The truth is, right now is not a good time to purchase an android flagship. If you really want to buy an android flagship, do wait for a while. 895 snapdragon phones are expected to be out by end of the year or early 2022.

Hope this review helped :)

Update:

13 gets a better cam sensor, a15 bionic, 10% bigger battery and a slightly smaller notch. That’s it. No more differences. Everything else remains the same.

iPhone 13 launched at 80k which is lesser than 12’s launch price(86k). If you want to save on some cash , 12 will still do the job (12 is currently around 55k-62k). However if you can spend that extra 20k, then 13 should be your pick.

Planning on taking an Android? Definitely wait until early 2022.",Yes,Black,128GB,iPhone 12
Placeholder,Excellent product; please purchase if your data is crucial.,"The iPhone 12 is the latest iteration of Apple's iconic smartphone series, and it continues to impress with its sleek design, powerful performance, and impressive camera capabilities. As a proud owner of the iPhone 12, I'd like to share my experiences and thoughts in this review.

Design and Build Quality (5/5):
Apple's design philosophy shines through in the iPhone 12. The flat-edged, aerospace-grade aluminum frame feels premium and comfortable to hold. The Ceramic Shield front cover offers extra durability, making me feel more confident in everyday use. The device is available in a variety of stunning colors, and the Super Retina XDR OLED display is simply brilliant, providing vibrant colors and deep blacks.

Performance (5/5):
Equipped with Apple's A14 Bionic chip, the iPhone 12 delivers top-notch performance. It handles multitasking, gaming, and demanding apps with ease. The device feels incredibly responsive, and I've never experienced any lag or slowdown, even with resource-intensive tasks.

Camera (4.5/5):
The iPhone 12 features a dual-camera system with a 12 MP wide and ultra-wide lens. The Night mode and Deep Fusion technology excel in low-light conditions, and the Smart HDR 3 makes every shot look stunning. However, compared to its more expensive sibling, the iPhone 12 Pro, it lacks a telephoto lens. Nonetheless, for the average user, the camera quality is more than satisfactory.

iOS 15 (5/5):
The iPhone 12 runs on iOS 15, which is Apple's latest and most feature-rich operating system. It's intuitive, secure, and keeps your device up-to-date. The App Library and widgets have been great additions, enhancing the user experience. Privacy features like App Tracking Transparency are commendable.

Battery Life (4/5):
While the iPhone 12's battery life is decent, it may not be the best among its competitors. It comfortably gets me through a full day of moderate use, but power users might need a top-up in the evening. However, the MagSafe wireless charging and support for fast charging (adapter sold separately) make it convenient to juice up quickly.

5G Connectivity (4.5/5):
With 5G support, the iPhone 12 is future-proofed for faster data speeds and improved connectivity. While 5G coverage may vary by region, it's an added bonus for those planning to keep their device for a few years.

Conclusion:
The iPhone 12 strikes an excellent balance between style and substance. It's a device that caters to the needs of a broad user base, offering impressive performance, a stunning display, and a camera that captures beautiful moments. iOS 15 brings a plethora of features to the table, and the device's design is nothing short of elegant. While battery life and the absence of a telephoto lens might deter some, for most users, the iPhone 12 is a fantastic choice, providing a premium Apple experience without the premium price tag.",Yes,Black,128GB,iPhone 12
Abhishek,An overall good premium experience,"SUMMERY: As a first time iPhone user, I would say one should definitely buy iPhone ONLY for premium built & premium hardware (will talk later) while the whole iOS experience is pretty overrated. iPhones isn't any exceptionally fast with normal apps like YouTube, Insta etc, Android phones are equally snappy with them in 2022.

PROS:
1. Impressive hardware, the heptics, the autobrightness & otherwise highly ignored things in Android are way too perfectly executed in iPhone and it DOES make a big difference in user experience!!
2. The screen is AMAZING.. it doesn't have 90 or 120 hz refresh rate but it FEELS better than my Nord with 90 hz!!
3. A14 bionic promises years of performance ahead.
4. Battery life is somewhere in between good & great.
5.
6. The dimensions of phone, it's smaller than usual android phones and feels much more handy along with less weight.
7. Overall build quality is great.
8. Best audio output out there.
9. Long term support.

CONS:
1. SLOW CHARGING. 20 W only, you'll be jealous of 1/3rd price phones with 60 W charging. Yes that much high charging will effect health of battery but 20 W is way way too less, if Apple is such a legendary company they should have created a battery that can withstand decently fast charging while instead they just use slow charging to keep their battery's health.
2. Overy exhagerated software experience, reality is that Android is more user friendly with better gesture & commonsense options & settings & steps to do simple things. iOS looks pretty yes but UX engineers at Apple have really done a crappy job.. there's still no notification grouping in correct manner (its executed poorly), no proper homescreen customisation & just so so so many ""commonsense"" things are missing from iOS I can rant all day about it. Everything you can do in Android with a single click or swipe takes 2 swipes and then a click to do in iOS its SOOOOO ANNOYING. Like you want to clear a notification? Swipe and then click on clear. You want to open a notification? Swipe FIRST and then click open.. like wth????????
3. DON'T believe Apple fanboys who scream about speed, Android phones are equally snappy in performance today. There are split second app loading times in iOS also, just like in Android. And yeah iOS DOES HAVE occasional bugs too, apps taking too much time sometimes etc etc.
4. FaceID is nice but an in-fingerprint reader seems the best ID to me atleast, that's missing.
5. Ridiculously expensive accessories
6. Battery life is above good but not great.

In the end I would say iPhone, overall, does provide a better experience (mostly cuz of hardware only) but it's expensive. Do know that you're NOT buying a value-for-money phone at all, so buy it only if you can afford it without much difficulty.",Yes,,,
Manab Jyoti,Perfect product,"It's my second iPhone ever and I bought it with my earned money through part time jobs in college
I am a tech freak so you can trust my views -
- A14 Bionic is the fastest, most efficient and reliable processor till date
- The camera focuses so quickly that you can take
DSLR quality photos.
- The screen size 6.1 inches is the most comfortable screen size out there and the OLED retina DR display is so crisp and everything feels real.
- The stereo speakers are so clear even on high volume and gives awesome vibe while listening to music
- iOS has no bugs at all
- 20W charging is lit
- The Face ID feels like having no lock for yourself, there's no issue while using Face ID even in the dark because it uses infrared rays to scan the face
Drawbacks -
- Battery could be better",Yes,Green,128GB,iPhone 12
mahesh krishnan,First step into the ecosystem!,"I have been a smartphone user since 2015, used both windows and android, finally into iOS too. Bought it on Sep 26, 2022.
Btw, on the left side on the body, near the screen, the paint had been chipped off (microscopic level). Had complained to the Amazon customer service, but of no avail. 6 months later...........

1. The Externals:
Build Quality: Apart from the earlier niggle, a well put together phone. The familiar glass sandwich design. It is pretty light to hold and because of the squared design, feels really comfortable to hold. I'm not a fan of big phones, so this size is a perfect sweet spot. The buttons also feel really tactile, no wobbles whatsoever. The alert slider is really a blessing! a real convenient thing to have. I guess every manufacturer apart from Oneplus has to implement this. And then, the IP68. I haven't got a chance to take underwater photos, so yeah, It's a safe thing!

Screen: It is a beautiful display to watch on. Supports HDR and Dolby vision as well. Inky blacks and punchy colors: a treat for movie lovers!. ( Btw, I dont like to watch movies on phones)

Speakers: Dual front firing speakers. Loud, clear. No distortion even at high volumes. Doesn't have much of a bass but a really enjoyable one. Calls are crystal clear if there isn't any signal interference.

Cameras: It takes good quality photos with the rear as well as front cameras. In daylight, the photos look rich and crisp, details are really spot on, the colors look really natural, skin tones produced are natural. Night time photos too look really good. Night mode does make a difference. Considering it's a flagship from 2020, these things are really expected and it does deliver. I really don't have anything to comment about the video, It's splendid!.... just that.

2. The Internals.

Battery life: Still at 100% health(not a real thing to worry about, but just saying). On iOS 15, it used to be stellar, I usually get about 5.30 hrs at 50% battery and still there'll be about another 50% to spare. But on iOS 16, I only get about half the battery I used to get on iOS 15. (About 5-6 hours at 100% usage). I really hope this would change in the future with the upcoming updates, but at present, I'm not happy about it.
iOS & Performance : The A14 bionic is a beast. Apps open up in a jiffy. Not much of a gamer, but the games do play without a hint of lag. iOS is a fresh experience for me. But then there are many ""must have"" things that I miss here that I used in Android, like call recording(it's a must have feature, you never know when it'll be a life saver!), The performance and the overall fluidity of the system took a hit when I updated to iOS 16, but slowly, it's getting better over time with updates, (now on iOS 16.4) But, much more refinements to be done, a lot of bugs to be fixed!

Some general things : 5G is working fine. Getting good speeds just like the carriers advertised, signal reception is good. Heats up a bit (Culprit- iOS 16, haven't noticed on iOS 15)",Yes,Blue,128GB,iPhone 12
Sahil,Review,"I must say, it's an impressive smartphone that lives up to its reputation as a top-tier device. As of today's date, the iPhone 12 remains a fantastic choice, offering great value for its price.

Design:
The iPhone 12 boasts a refreshed design that sets it apart from other smartphones in the market. With its flat edges and straight lines reminiscent of the iconic iPhone 5, the device exudes elegance and sophistication. The Ceramic Shield display protection ensures added durability, providing peace of mind against accidental drops or scratches. The phone's slim and lightweight build, along with its ergonomic design, makes it a pleasure to hold and use. Apple's attention to detail and build quality shine through, making it one of the best-looking smartphones available.

Performance:
The iPhone 12 delivers solid and nippy performance, whether browsing the web, playing games, or running multiple applications simultaneously. With Apple's powerful A14 Bionic chip, the device handles tasks with ease and ensures smooth performance across various applications and functions.

Camera:
The camera performance on the iPhone 12 is reliable and impressive. The point-and-shoot capabilities, along with HDR video support, allow for capturing stunning photos and videos in various lighting conditions. While it may not have all the features of the iPhone 12 Pro, the camera on the iPhone 12 still produces high-quality images that are sure to impress.

5G Support:
The iPhone 12 comes equipped with 5G support, ensuring faster download and upload speeds and improved connectivity. This feature future-proofs the device, allowing users to take advantage of the latest advancements in mobile networks.

Affordability:
Despite not being the most recent iPhone model, the iPhone 12 still holds its ground and remains a compelling choice at its reduced price point. In the UK, it is now available at £649, and in the US, it is even more budget-friendly at $599. For the features and performance it offers, the iPhone 12 is an excellent investment.

Overall, the Apple iPhone 12 (64GB) - Blue is a fantastic smartphone that delivers on all fronts – from its stunning design and reliable camera performance to its powerful internals and 5G support. If you are looking for a premium smartphone that offers a seamless user experience and excellent value for money, the iPhone 12 is undoubtedly worth considering.",Yes,,,
Ak.Bidyananda Singh,iPhones,Good product,Yes,,,
Ranit Kumar Dholey,Long Term Review: Excellent All Rounder Device,"This is going to be a long review, sit back, relax and have a read.
I bought the iPhone 12 in May of 2021 after selling my OnePlus.
Having used the iPhone7 and XR for years, this was my third iPhone.

I have to say the iOS experience on the XR was absolutely horrible. Terrible reception, average battery and mediocre cameras forced me to move to android. I was tempted to move the 12 for all the improvements in modems, screen and the camera.
And boy was I surprised . Let’s take up the review in sections.
1. Screen: Having used a high refresh rate screen of OP8 before, I was quite sceptical about the 60hz of iPhone12 before I bought it. But, astonishingly, the iPhone12 screen is buttery smooth, courtesy of the high touch sampling rate and excellent animations. This does not feel like a 60hz display, and I cannot stress this enough. The display is EXCELLENT .

2. Camera: being a photographer who has spent half of his life travelling, I prioritise a good camera over anything else. And these are surely the most spectacular cameras that I have used on a smartphone. Excellent HDR, great details and very post processing friendly. Of course, the video is as good as it gets on a phone. Attaching some images I shot on the 12 for your reference. Trust me when I say this, you could use this for some semi professional shoot just fine, if it’s only for social media and you are not printing really big.

3. Battery: Battery on this device is not spectacular, it’s average. It will get you through the day for sure, unless you are in very long video calls two three times a day. It is good enough, on par with my OnePlus.

4. Build Quality: this is where it is head and shoulders above the competition. Rock solid, an led weirdly lightweight, this feels very, very premium.

5. Software: iOS 14 and the iOS15 have really pushed the sub par experience of ios11 away, and this software now feels smoother than ever. Great improvements. Excellent software experience, not something I could say with my XR.

Summary: Excellent device, with no complains. This could really be one of the first devices that I used which I can call perfect. Highly recommended.",Yes,Blue,128GB,iPhone 12
Shivraj jat,Wow gays this is supar fentesting😮,"Hii friends product camera 📸 quality is very superb and this phone is a branded product of this aap.
And gays please try this product on this aap.
Thank you 🙏",Yes,,,
KAILAS p c,Design,Nice,Yes,,,
Amazon Customer,Best Iphone,Value for money and no lags !! Iphone 12 is best !!,Yes,Black,128GB,iPhone 12
Parthiv Sarkar,Best moblie,Always IPhone,Yes,,,
Amazon Customer,Good performence,Like,Yes,Blue,128GB,iPhone 12
Sandip,Sound,Sound of problem appeared within few months.,Yes,Green,128GB,iPhone 12
Gaurav solanki,"BEST PRODUCT, VALUE FOR MONEY","A very good Product, very Good Platform, very good packaging, very good delivery,",Yes,,,
Prasanna Bhalerao,iPhone is the standard against which all smartphones are compared,"I purchased this phone for my wife. Last year I purchased iPhone X for my son who is currently in the UK. I own an iPad and iMac 27"". I am not going to buy an iPhone for myself - at least not yet. One of the main things that I don't like about Android phones is the crap (bloatware) that each maker puts in. Moto and Google Pixel come with pure stock Android. So those can be left out. So I wanted a good phone for my wife so that she could FaceTime with my son in the UK anytime.

What is there to say? So many have written about it. Since everyone writes all the positives, I will write some negatives. While there aren't too many, no product can be perfect:

1. Brings in all the junk from the old phone. If one is switching from Android to iPhone, the ""Move to iOS"" app on Android can help. However be sure to clean up your Android phone first else all junk (especially ""Good Morning"", ""Good day"" picture crap from WhatsApp photos). Be sure to clean the SMS inbox also, especially all those blocked and spam messages which may be hidden from the main view and we never know that exist.
2. WhatsApp cannot be synced. Yes, there are 3rd party apps but they are full of ad-crap and I can't trust them for security.
3. Difficulty in validating iMessage and FaceTime. I could not activate iMessage and FaceTime with my mobile number. I simply could not figure this out. This is the case with my Vodaphone SIM/Number in India. Only when I added my email to my Apple ID, the two apps started working. Even now, the mobile number is not verified.
4. I wish Apple provides dual SIM. Now dual SIM is almost a necessity. But as my wife does not use two SIMs, for her, it is fine.
5. Apple is providing USB-C to lightning cable. They should supply USB-A to lightning cable instead. 99% of the chargers have a USB-A output. I had to purchase a USB-A to USB-C mini adapter (₹180) for this, or someone may have to buy a cable of the type (good cables from Apple, Belkin, Anker cost ₹1100 and above). By far, this is my biggest grouse.
6. This is not the latest iPhone. The iPhone 13 was ₹73,000 and did not seem VFM. Even at ₹56,000 (₹55,900 to be exact), the iPhone12 may not be money best spent. This is one reason, why I haven't purchased an iPhone for myself all this while (I can afford to buy the latest one every year).",Yes,,,
RakhuNathan,Not Really worth the money,"I have been an android user for the past 8+ years. Recently was using iphone 6 for the past few months, liked it much and wanted to switch to ios. I did not want to regret, so i purchased the best in the market, going with iphone 12. Honestly, I dont feel its worthy. Perfomance wise, its good. A lot other phones like MI, 1+ everything gives us a very nice perfomance too. The A14 chip is just a tag line to sell the phone. Are we really going to process million instructions per second on a mobile phone? Defenitely not.

Battery, After charging it to 100% in the morning, I am hardly getting 1 full day with average use. My battery is almost 20% at the end of the day with a screentime of 4-4.3 hours[Update : With low power mode, it makes a 6 hour day, ending with 30%]. Camera quality is amazing in natural light. Yes, as specified it works so nice in night light, but please dont mistake night light as no-light. Front camera is still average. The same things i see in every other mid range android phones. I am still using JIO 4g. Not sure how this would work on 5g (must drain even faster)

Face detenction, the color of the phone, Water resistant and all stuffs are nice to have, fancy items. But not really convinced if this is all we get for 84k?

Fast charging - I bought a 20W charger from apple store for Rs.1900. I plug in when the battery is 20-25% and it takes 1.45 hours to reach 100%. If this is all about fast charging you are looking for, well and good. I never tried with magsafe, honestly. But this to me doesnt seem fast charging for 2800~ mah battery.

I wont say that this phone is too poor. It gives us all that it promises. Personally I dont recommend investing 85k Indian money into this. Either go for lower versions of other iphones like 11 or you can wait for an year and buy this at cheaper cost.

PROS : Camera & Perfomance
CONS : Battery and Cost",Yes,Blue,128GB,iPhone 12
Raj singh,Heating issue,Product was good...liked it..,Yes,,,
Sagar Parmar,Excellent,You all know the features of iPhone so go ahead.,Yes,,,
Anand Chauhan,Lovely phone,,Yes,,,
shiraj chhetri,Nice,Nice,Yes,,,
NEELANSH,Good product happy after purchase,Good product happy after purchase,Yes,,,
Rupesh,Photo,Nice camera,Yes,,,
